TeamName,HeroName,NewRole,Games,Wins,WinRate
30 seconds to mosh,Anduin,Healer,52,28,0.54
30 seconds to mosh,Anub'arak,Tank,19,11,0.58
30 seconds to mosh,Artanis,Bruiser,10,5,0.5
30 seconds to mosh,Auriel,Healer,1,0,0.0
30 seconds to mosh,Azmodan,Ranged Assassin,5,2,0.4
30 seconds to mosh,Blaze,Tank,30,16,0.53
30 seconds to mosh,Brightwing,Healer,36,17,0.47
30 seconds to mosh,Cassia,Ranged Assassin,30,21,0.7
30 seconds to mosh,Chen,Bruiser,2,0,0.0
30 seconds to mosh,Chromie,Ranged Assassin,7,3,0.43
30 seconds to mosh,D.Va,Bruiser,18,7,0.39
30 seconds to mosh,Deathwing,Bruiser,3,1,0.33
30 seconds to mosh,Deckard,Healer,6,3,0.5
30 seconds to mosh,Dehaka,Bruiser,23,11,0.48
30 seconds to mosh,Diablo,Tank,19,8,0.42
30 seconds to mosh,E.T.C.,Tank,15,9,0.6
30 seconds to mosh,Falstad,Ranged Assassin,9,3,0.33
30 seconds to mosh,Garrosh,Tank,18,10,0.56
30 seconds to mosh,Gazlowe,Bruiser,18,8,0.44
30 seconds to mosh,Genji,Ranged Assassin,9,6,0.67
30 seconds to mosh,Greymane,Ranged Assassin,21,9,0.43
30 seconds to mosh,Gul'dan,Ranged Assassin,4,2,0.5
30 seconds to mosh,Hanzo,Ranged Assassin,13,5,0.38
30 seconds to mosh,Hogger,Bruiser,6,2,0.33
30 seconds to mosh,Imperius,Bruiser,5,1,0.2
30 seconds to mosh,Jaina,Ranged Assassin,57,31,0.54
30 seconds to mosh,Johanna,Tank,47,25,0.53
30 seconds to mosh,Junkrat,Ranged Assassin,2,0,0.0
30 seconds to mosh,Kael'thas,Ranged Assassin,2,1,0.5
30 seconds to mosh,Leoric,Bruiser,51,33,0.65
30 seconds to mosh,Li Li,Healer,4,0,0.0
30 seconds to mosh,Li-Ming,Ranged Assassin,12,5,0.42
30 seconds to mosh,Lt. Morales,Healer,2,2,1.0
30 seconds to mosh,Lunara,Ranged Assassin,35,19,0.54
30 seconds to mosh,Lúcio,Healer,13,6,0.46
30 seconds to mosh,Maiev,Melee Assassin,1,0,0.0
30 seconds to mosh,Mal'Ganis,Tank,3,1,0.33
30 seconds to mosh,Malfurion,Healer,1,0,0.0
30 seconds to mosh,Malthael,Bruiser,2,1,0.5
30 seconds to mosh,Mei,Tank,6,2,0.33
30 seconds to mosh,Mephisto,Ranged Assassin,3,0,0.0
30 seconds to mosh,Muradin,Tank,48,26,0.54
30 seconds to mosh,Murky,Melee Assassin,2,0,0.0
30 seconds to mosh,Nazeebo,Ranged Assassin,6,3,0.5
30 seconds to mosh,Nova,Ranged Assassin,2,0,0.0
30 seconds to mosh,Orphea,Ranged Assassin,14,7,0.5
30 seconds to mosh,Probius,Ranged Assassin,8,4,0.5
30 seconds to mosh,Ragnaros,Bruiser,1,0,0.0
30 seconds to mosh,Raynor,Ranged Assassin,8,4,0.5
30 seconds to mosh,Rehgar,Healer,44,22,0.5
30 seconds to mosh,Rexxar,Bruiser,4,2,0.5
30 seconds to mosh,Sgt. Hammer,Ranged Assassin,5,1,0.2
30 seconds to mosh,Sonya,Bruiser,61,35,0.57
30 seconds to mosh,Stitches,Tank,5,2,0.4
30 seconds to mosh,Stukov,Healer,64,35,0.55
30 seconds to mosh,Sylvanas,Ranged Assassin,33,16,0.48
30 seconds to mosh,Tassadar,Ranged Assassin,7,3,0.43
30 seconds to mosh,The Butcher,Melee Assassin,1,0,0.0
30 seconds to mosh,Thrall,Bruiser,2,1,0.5
30 seconds to mosh,Tychus,Ranged Assassin,27,19,0.7
30 seconds to mosh,Tyrael,Tank,11,4,0.36
30 seconds to mosh,Uther,Healer,2,2,1.0
30 seconds to mosh,Valeera,Melee Assassin,1,0,0.0
30 seconds to mosh,Valla,Ranged Assassin,35,20,0.57
30 seconds to mosh,Varian,Bruiser,68,40,0.59
30 seconds to mosh,Whitemane,Healer,1,1,1.0
30 seconds to mosh,Xul,Bruiser,3,0,0.0
30 seconds to mosh,Yrel,Bruiser,1,0,0.0
30 seconds to mosh,Zagara,Ranged Assassin,1,0,0.0
30 seconds to mosh,Zarya,Support,4,2,0.5
30 seconds to mosh,Zeratul,Melee Assassin,1,0,0.0
30 seconds to mosh,Zul'jin,Ranged Assassin,20,12,0.6
beyonce gnolls,Anduin,Healer,6,3,0.5
beyonce gnolls,Anub'arak,Tank,2,1,0.5
beyonce gnolls,Azmodan,Ranged Assassin,1,0,0.0
beyonce gnolls,Blaze,Tank,4,2,0.5
beyonce gnolls,Brightwing,Healer,1,0,0.0
beyonce gnolls,Cassia,Ranged Assassin,2,1,0.5
